bin,range_m,mf_magnitude,cfar_threshold,detected
666,9983.0889,2.108341,27.586421,0
667,9998.0785,6.077584,26.677378,0
668,10013.0681,7.766399,26.299832,0
669,10028.0577,5.786175,26.715874,0
670,10043.0473,4.391367,26.458421,0
671,10058.0370,6.034063,25.021913,0
672,10073.0266,7.620832,24.345191,0
673,10088.0162,3.142523,24.607249,0
674,10103.0058,12.584297,24.872671,0
675,10117.9955,13.294728,25.061370,0
676,10132.9851,6.563539,25.100513,0
677,10147.9747,2.539058,25.172485,0
678,10162.9643,3.758051,24.940487,0
679,10177.9539,4.284146,25.897235,0
680,10192.9436,3.965994,25.795640,0
681,10207.9332,7.350144,23.920905,0
682,10222.9228,6.340065,22.961267,0
683,10237.9124,3.836011,22.435513,0
684,10252.9021,13.198422,22.793264,0
685,10267.8917,17.679721,23.106630,0
686,10282.8813,12.762424,23.263392,0
687,10297.8709,5.352680,24.306309,0
688,10312.8606,6.177672,24.269174,0
689,10327.8502,9.586617,23.947508,0
690,10342.8398,12.493406,25.367696,0
691,10357.8294,6.997272,26.452193,0
692,10372.8190,5.318955,26.553410,0
693,10387.8087,12.809569,26.396532,0
694,10402.7983,8.522318,27.293739,0
695,10417.7879,6.516116,27.586029,0
696,10432.7775,4.280912,26.967182,0
697,10447.7672,3.308390,26.887111,0
